ID;SEXO;TIPO_COLEGIO;Puntaje Nem;Puntaje Ranking;Puntaje Lenguaje;PAES_M1;PAES_M2;Puntaje Historia;Puntaje Ciencias;Puntaje Prom;Puntaje Pond.;DIAG_MAT;AYG_240;AYG_24-2;C1_240;C1_24-2;AL_24-2;C2_24-2
1;M;2;851;866;597;513;464;0;433;555,00;650,65;0,07;1,00;0,00;2,08;0,00;0,00;0,00
2;M;3;402;402;738;593;406;613;0;665,50;523,75;0,14;1,00;0,00;1,01;0,00;0,00;0,00
3;M;3;491;491;729;480;428;423;443;604,50;503,00;0,10;1,03;1,00;1,58;2,20;0,00;0,00
4;M;2;558;560;759;761;504;0;585;760,00;649,75;0,19;1,05;1,10;3,10;2,30;0,00;0,00
5;M;2;529;538;591;575;312;556;0;583,00;545,85;0,02;1,05;0,00;1,00;0,00;0,00;0,00
6;M;2;771;794;573;679;413;0;499;626,00;680,80;0,17;1,11;5,00;3,47;5,06;0,00;0,00
7;M;2;828;905;692;696;399;0;478;694,00;734,85;0,10;1,20;1,30;1,17;1,60;0,00;0,00
8;F;2;757;757;651;642;348;0;410;646,50;651,00;0,17;1,21;0,00;2,02;0,00;0,00;0,00
9;M;3;599;599;636;731;466;570;415;683,50;639,35;0,07;1,29;1,20;1,36;1,10;0,00;0,00
10;M;3;599;599;636;731;466;570;415;683,50;639,35;0,07;1,29;1,20;1,36;1,10;0,00;0,00
11;M;2;870;954;619;601;369;502;443;610,00;714,10;0,12;1,30;0,00;1,00;0,00;0,00;0,00
12;M;1;567;567;591;546;434;489;545;568,50;553,20;0,02;1,30;0,00;0,72;0,00;0,00;0,00
13;M;2;765;947;801;628;292;565;467;714,50;731,60;0,21;1,32;0,00;1,59;0,00;0,00;0,00
14;M;2;608;608;679;746;393;520;515;712,50;643,85;0,17;1,33;0,00;1,04;0,00;0,00;0,00
15;M;2;608;608;679;746;393;520;515;712,50;643,85;0,17;1,33;0,00;1,04;0,00;0,00;0,00
16;M;2;643;691;574;452;444;0;491;513,00;558,50;0,05;1,39;3,50;1,54;2,40;0,00;0,00
17;F;2;780;896;375;478;309;405;399;426,50;607,55;0,05;1,43;3,80;1,94;2,80;0,00;0,00
18;M;2;780;791;534;593;393;402;0;563,50;636,10;0,17;1,48;0,00;1,27;0,00;0,00;0,00
19;M;2;650;650;633;575;483;391;411;604,00;589,80;0,14;1,51;1,80;1,67;2,80;0,00;0,00
20;M;2;650;650;633;575;483;391;411;604,00;589,80;0,14;1,51;1,80;1,67;2,80;0,00;0,00
21;M;3;871;1000;591;523;292;0;413;557,00;685,15;0,07;1,52;0,00;1,71;0,00;0,00;0,00
22;M;2;658;666;454;600;379;0;340;527,00;573,95;0,10;1,54;0,00;1,49;0,00;0,00;0,00
23;M;2;823;848;676;549;271;411;0;612,50;651,10;0,07;1,58;1,60;1,91;1,30;0,00;0,00
24;M;2;699;732;582;680;520;0;512;631,00;662,90;0,19;1,61;1,30;2,13;1,50;0,00;0,00
25;M;2;857;962;686;679;395;556;449;682,50;755,90;0,36;1,62;0,00;1,93;0,00;0,00;0,00
26;M;2;613;613;611;554;444;0;498;582,50;572,20;0,14;1,64;5,00;1,34;4,10;0,00;0,00
27;M;2;613;613;611;554;444;0;498;582,50;572,20;0,14;1,64;5,00;1,34;4,10;0,00;0,00
28;M;2;613;613;611;554;444;0;498;582,50;572,20;0,14;1,64;5,00;1,34;4,10;0,00;0,00
29;M;3;814;874;625;549;419;0;450;587,00;664,20;0,14;1,66;4,50;4,34;0,00;0,00;2,10
30;F;3;856;897;522;498;330;0;412;510,00;638,90;0,07;1,68;4,60;1,15;2,40;0,00;0,00
31;M;1;713;713;665;616;363;540;427;640,50;639,45;0,17;1,70;0,00;1,29;0,00;0,00;0,00
32;M;2;456;456;567;563;434;474;336;565,00;505,25;0,12;1,70;1,30;1,58;1,60;0,00;0,00
33;M;2;823;904;689;563;363;0;480;626,00;685,60;0,12;1,78;0,00;1,61;0,00;0,00;0,00
34;M;2;823;904;689;563;363;0;480;626,00;685,60;0,12;1,78;0,00;1,61;0,00;0,00;0,00
35;F;2;685;733;574;535;428;0;454;554,50;599,85;0,17;1,83;2,50;3,18;2,20;0,00;0,00
36;M;2;713;713;481;523;381;0;428;502,00;578,20;0,19;1,84;2,70;2,73;3,50;0,00;0,00
37;M;2;713;713;481;523;381;0;428;502,00;578,20;0,19;1,84;2,70;2,73;3,50;0,00;0,00
38;M;2;538;538;563;642;346;534;0;602,50;566,90;0,29;1,84;0,00;1,35;0,00;0,00;0,00
39;M;2;538;538;563;642;346;534;0;602,50;566,90;0,29;1,84;0,00;1,35;0,00;0,00;0,00
40;M;2;538;538;563;642;346;534;0;602,50;566,90;0,29;1,84;0,00;1,35;0,00;0,00;0,00
41;M;3;495;495;554;563;346;0;506;558,50;518,35;0,12;1,87;2,10;1,80;5,02;0,00;0,00
42;F;2;871;992;524;593;346;474;406;558,50;709,35;0,26;1,87;5,44;3,54;2,40;0,00;0,00
43;F;0;632;727;686;563;246;540;503;624,50;613,25;0,12;1,88;4,30;3,47;4,70;0,00;0,00
44;F;3;837;850;534;535;393;0;532;534,50;652,20;0,17;1,90;0,00;2,28;0,00;0,00;0,00
45;F;2;526;526;574;844;437;0;532;709,00;638,25;0,31;1,90;2,50;1,68;2,90;0,00;0,00
46;M;2;856;872;597;607;290;0;443;602,00;678,15;0,17;1,92;0,00;1,91;0,00;0,00;0,00
47;M;2;851;927;449;549;348;344;385;499,00;656,15;0,12;1,96;0,00;1,63;0,00;0,00;0,00
48;M;2;828;940;816;746;452;616;432;781,00;791,70;0,19;1,98;5,28;1,56;4,50;0,00;0,00
49;M;3;837;900;597;669;381;505;517;633,00;718,30;0,12;2,13;2,80;2,01;2,90;0,00;0,00
50;F;2;722;742;788;705;488;663;647;746,50;711,05;0,29;2,18;0,00;2,06;0,00;0,00;0,00
51;F;1;886;904;738;688;408;0;544;713,00;749,20;0,21;2,20;5,90;1,89;4,20;0,00;0,00
52;M;2;519;529;701;757;483;578;0;729,00;627,60;0,36;2,25;2,40;2,20;3,40;0,00;0,00
53;M;2;519;529;701;757;483;578;0;729,00;627,60;0,36;2,25;2,40;2,20;3,40;0,00;0,00
54;M;2;787;856;591;600;381;577;0;595,50;681,35;0,24;2,29;2,00;1,36;2,20;0,00;0,00
55;M;2;757;783;745;797;498;0;588;771,00;747,75;0,38;2,30;2,00;2,08;2,70;0,00;0,00
56;M;2;886;888;726;679;422;474;448;702,50;733,75;0,21;2,30;5,10;1,80;2,40;0,00;0,00
57;M;2;671;676;651;705;487;556;524;678,00;661,70;0,43;2,39;4,10;4,14;0,00;0,00;1,70
58;M;2;942;1000;591;563;363;549;0;577,00;723,40;0,17;2,44;4,00;2,89;4,00;0,00;0,00
59;M;3;598;598;524;549;406;0;363;536,50;540,35;0,07;2,46;3,20;3,04;3,20;0,00;0,00
60;M;1;814;858;729;723;449;659;0;726,00;753,10;0,12;2,47;4,70;3,17;5,30;0,00;0,00
61;F;2;628;628;591;513;393;0;468;552,00;556,30;0,10;2,48;1,80;3,67;3,40;0,00;0,00
62;M;2;793;834;636;696;408;0;548;666,00;711,90;0,26;2,49;5,24;2,33;3,40;0,00;0,00
63;M;2;644;644;686;688;393;564;504;687,00;643,05;0,33;2,51;4,70;5,05;0,00;0,00;3,50
64;M;2;644;644;686;688;393;564;504;687,00;643,05;0,33;2,51;4,70;5,05;0,00;0,00;3,50
